date,news_sentiment,news_count,pct_positive,Ticker
2026-06-21,0.060407513082027436,1200,0.25,NVDA
2026-06-16,0.3228820164998372,288,0.5625,AMD
2026-06-17,0.20952696601549783,288,0.4583333333333333,AMD
2026-06-18,0.31103467720526234,324,0.5185185185185185,AMD
2026-06-19,0.2521814465522766,210,0.42857142857142855,AMD
2026-06-20,0.07311777936087714,54,0.2222222222222222,AMD
2026-06-21,0.1013993223508199,36,0.5,AMD
2026-06-18,0.16397323030414004,198,0.45454545454545453,INTC
2026-06-19,0.1860491600605326,654,0.42201834862385323,INTC
2026-06-20,0.27302137613296507,150,0.44,INTC
2026-06-21,0.199713026935404,198,0.42424242424242425,INTC
2026-05-31,-0.17166711390018463,24,0.0,ASML
2026-06-01,0.17090888023376466,30,0.2,ASML
2026-06-02,0.10792758464813232,30,0.2,ASML
2026-06-03,0.07471128513938502,114,0.3157894736842105,ASML
2026-06-04,0.5564918637275695,30,0.6,ASML
2026-06-05,0.3013922969500224,18,0.3333333333333333,ASML
2026-06-07,-0.2330573946237564,48,0.25,ASML
2026-06-08,-0.1425601885868953,78,0.23076923076923078,ASML
2026-06-09,0.22907453030347824,48,0.375,ASML
2026-06-10,-0.5773011495669683,36,0.16666666666666666,ASML
2026-06-11,0.23417758627941734,114,0.3157894736842105,ASML
2026-06-12,-0.06438348974500384,84,0.14285714285714285,ASML
2026-06-13,-0.3384948596358299,24,0.0,ASML
2026-06-14,0.0,18,0.0,ASML
2026-06-15,0.3403742863581731,78,0.46153846153846156,ASML
2026-06-16,0.06970749403301038,114,0.42105263157894735,ASML
2026-06-17,0.3634701932177824,102,0.47058823529411764,ASML
2026-06-18,-0.11343266814947128,48,0.25,ASML
2026-06-19,-0.5710332483053208,120,0.1,ASML
2026-06-20,0.1990528702735901,24,0.25,ASML
2026-06-21,-0.9482967853546143,18,0.0,ASML
2026-06-15,0.5101844867070516,18,0.6666666666666666,TSM
2026-06-16,0.14966621934151164,294,0.40816326530612246,TSM
2026-06-17,0.19415990664408758,234,0.38461538461538464,TSM
2026-06-18,0.31503401561216876,330,0.4909090909090909,TSM
2026-06-19,0.07786432137856117,156,0.38461538461538464,TSM
2026-06-20,0.12372807164986928,72,0.25,TSM
2026-06-21,0.15185700356960297,96,0.3125,TSM
2026-06-13,0.031093120574951172,60,0.4,AVGO
2026-06-14,-0.11220399396760124,84,0.2857142857142857,AVGO
2026-06-15,0.0794265578533041,174,0.27586206896551724,AVGO
2026-06-16,0.06036511751321646,156,0.3076923076923077,AVGO
2026-06-17,0.07469215176322243,264,0.36363636363636365,AVGO
2026-06-18,0.09432070132564097,204,0.29411764705882354,AVGO
2026-06-19,0.25671610006919277,156,0.4230769230769231,AVGO
2026-06-20,0.21873863254274642,42,0.2857142857142857,AVGO
2026-06-21,-0.15466097593307496,60,0.1,AVGO
2026-06-12,-0.701401948928833,72,0.0,MRVL
2026-06-13,0.4091914783824574,66,0.6363636363636364,MRVL
2026-06-14,0.3288286490873857,66,0.36363636363636365,MRVL
2026-06-15,0.5625734478235245,168,0.6785714285714286,MRVL
2026-06-16,-0.019365333375476655,126,0.2857142857142857,MRVL
2026-06-17,0.36802660649822605,186,0.6451612903225806,MRVL
