Date,Ticker,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,vol_5d,vol_20d,rsi_14,rel_soxx,rel_qqq,vol_spike,pct_from_52wk_high,fwd_5d,Target
2019-01-02,NVDA,0.020374430652002395,0.03849956503188512,0.07192314200983385,-0.05126067305492987,-0.1664933412855396,0.023553911295966623,0.03432832344900967,37.207834669237656,-0.10708767706905686,-0.08355722056873627,0.7851014185010061,-0.5287659414806184,,0
2019-01-03,NVDA,-0.0604169662276377,-0.04234969071439254,-0.038392342823257986,-0.12896438539341015,-0.2472948970894251,0.033030613513641824,0.03416853821615066,30.211061255418258,-0.11036000143651004,-0.11916091516243976,1.1045903422553023,-0.5572364736794966,,0
2019-01-04,NVDA,0.06406759395547157,0.020149803453005877,0.038270947730780325,-0.016749869131317263,-0.13315519124087194,0.045219217182359266,0.03503142273984601,40.65555111170508,-0.08048005470128083,-0.07858717486032207,0.9333767704226573,-0.5288696798569017,,0
2019-01-07,NVDA,0.052940681440822424,0.052708885044444376,0.07295146156796539,0.06143573976547856,-0.09406787051131127,0.049556838513267434,0.03738384471831321,48.847582547391355,-0.06384096123803973,-0.044048702289227304,1.1287622357119642,-0.5039277196610933,,0
2019-01-08,NVDA,-0.02489550243895422,0.09250713511500841,0.04741554529967407,0.07918458605842371,-0.0527065218228876,0.052560022109720286,0.0347116882290186,48.29710814395007,-0.05565506454088098,-0.044009072533097715,1.2407897702912356,-0.5162776883261682,0.05136263978383482,1
2019-01-09,NVDA,0.01966683305413275,0.04691966645718737,0.046689195538683226,0.12197037118957077,-0.061108937457424406,0.05252744131824725,0.03434181200543108,47.883075761046584,-0.0768021210976676,-0.05013271511186823,0.9753348951079669,-0.5067644023779196,0.13036556774081698,1
2019-01-10,NVDA,0.018585961729344458,0.012761396826694194,0.1346979272167057,0.09113421539416167,-0.019974642230651152,0.03485808526603426,0.0342584588261019,56.572371791791596,-0.038141231470181336,-0.008553574415520182,0.8364714309469294,-0.49759714443696534,0.09108639525786966,1
2019-01-11,NVDA,0.024788421472524247,0.06436403049957384,0.09281149457617444,0.13463442616469523,-0.0004703102493971434,0.027882986065768313,0.034708373003353374,62.34454202906585,-0.01514940916017482,0.02316047556968437,1.374413674062012,-0.48514337070426916,0.048963405673613125,1
2019-01-14,NVDA,0.010817691856565892,0.055126986313983384,0.04909346941582271,0.12562637133111454,0.010410320719451471,0.020025069379674458,0.034783463531392694,69.78599466909449,0.010139831112829123,0.04296216667565422,1.124368766001245,-0.47957381033823776,0.07007003375418608,1
2019-01-15,NVDA,-0.0037888743583812667,0.03194946938607557,0.07180162606580409,0.12262168461879153,0.023352404732627674,0.0111366987346782,0.03456360722989102,72.60281015208642,0.0057754816557045174,0.012397785808598183,0.9396185740552753,-0.48154563978367726,0.043530622533915264,1
