Date,Ticker,ret_1d,ret_3d,ret_5d,ret_10d,ret_20d,vol_5d,vol_20d,rsi_14,rel_soxx,rel_qqq,vol_spike,pct_from_52wk_high,fwd_5d,Target,news_sentiment,news_count,pct_positive,nvidia_mentions,amd_mentions,intel_mentions,gpu_mentions,capex_up_score,capex_down_score,competitor_mentions,capex_net,ai_sentence_ratio
2019-01-02,NVDA,0.02037450432730492,0.03849948871592557,0.0719232233172371,-0.05126073674863907,-0.16649314464140152,0.023554106135690027,0.03432837146061409,37.20789386864712,-0.10708726554496595,-0.08355670372702273,0.7851014185010061,-0.5287660043350697,,0,0.0,0.0,0.0,0.6213109661385523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,TSM,-0.010566652471198812,-0.007069011124865909,0.034853702297560574,0.00828279419925182,-0.028465095689600428,0.020814739820000407,0.01765679675097005,49.0900874331747,0.03094078340683515,0.05447134522477837,0.5659122922340126,-0.18645578676434138,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,AVGO,-0.0030279319691662865,0.010603924457904146,0.08430282955305457,0.00807224454054567,0.07906743200911848,0.025707556393549193,0.02689492671374866,58.335432100075714,0.13847331110555405,0.16200387292349727,0.6017998865651041,-0.032061526142114105,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,MRVL,0.019147333185736803,0.050955442951420515,0.14503816321555263,0.08634417403620387,0.02835211479278721,0.028901174137313548,0.030025109449983597,64.76888581117795,0.08775799388922279,0.111288555707166,1.489023863474574,-0.3142326579488349,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,INTC,0.0031963444443185995,0.015530551979199725,0.0800640947160296,0.0,-0.045224189202624165,0.02462518122123295,0.025631621496110174,49.4164918878793,0.014181689893811411,0.03771225171175463,0.6429077376065551,-0.1649545379894135,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036363636363636364
2019-01-02,SMCI,0.094202895420886,0.08011444091781272,0.07244318085607171,-0.016286629773138106,0.013422805905036084,0.04442035294615968,0.03785244173227847,39.0458052592564,0.07282868500147166,0.09635924681941488,0.8140124936569318,-0.44074075414974156,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9099181073703367,0.0,0.0,0.9099181073703367,0.0
2019-01-02,MSFT,-0.0044303783151086185,-0.0005927724581809013,0.0742589806676055,-0.01720273995851529,-0.0881052541844094,0.030935529262408307,0.026502643294066843,37.97864215426374,-0.028699375087973822,-0.005168813270030603,0.7212682077640661,-0.12155645411767002,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085
2019-01-02,GOOGL,0.009301709878342113,0.0016906494765438485,0.07110000678941208,0.028303893071278008,-0.04953798791127306,0.028564283777488715,0.023384101844127925,49.268318254390834,0.009867891185162514,0.03339845300310573,0.716695303293362,-0.17955656648423135,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,AMZN,0.024740760502233394,0.05301574151133037,0.1452200873410041,0.011979610403317409,-0.08936381582309094,0.03880669605055707,0.03797555683589254,43.272751326102615,-0.029957936726655365,-0.006427374908712147,0.9807501176320274,-0.24534328664842708,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032258064516129032
2019-01-02,AMD,0.02004338340106515,0.07661521841759411,0.13093095225957807,0.0,-0.11596241323130485,0.03529485751074181,0.053695899191116274,44.91739489428005,-0.056556534134869274,-0.033025972316926056,0.8424954672294344,-0.42451102624679504,,0,0.0,0.0,0.0,0.0,0.9387467730579676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,META,0.03501393483040127,0.008622959278968612,0.09366419046586638,-0.032170591615908406,-0.035061802136969855,0.040269717527930717,0.033376118700060776,45.04618436377797,0.02434407695946572,0.04787463877740894,0.9590951189608888,-0.37618400190270396,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,DELL,-0.03580925016207648,0.06373383222878992,0.057127179714235865,-0.19015295838227353,-0.19322423597531713,0.042485762903801426,0.05332660983365368,29.49710516813373,-0.13381835687888155,-0.11028779506093833,0.8424482149545173,-0.2017004905617552,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,ANET,-0.0007118837145556611,0.027925602546354567,0.11461095741028693,0.001808083390223203,-0.1171167107353146,0.024424273924449087,0.03302750507801914,38.64750138502913,-0.05771083163887902,-0.034180269820935805,0.7654115216676839,-0.31768095076234115,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,HPE,0.018925136584362567,0.027481048012926834,0.09698448578922791,-0.009565745440038964,-0.0956530199656016,0.017734431459114776,0.033873923914939916,35.16535801769341,-0.03624714086916603,-0.01271657905122281,0.7561612299563861,-0.2884795983001991,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-02,ASML,0.004369717353654989,0.012370893773909764,0.07785663435066703,-0.026774761347909126,-0.08783212721778422,0.022075570603179794,0.026823999284460366,44.39107749611553,-0.02842624812134864,-0.004895686303405422,0.5460518862580718,-0.2920555065930335,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,ASML,-0.05515025369474402,-0.047778724600783695,-0.03426618958393257,-0.09164730292219081,-0.16874953316337937,0.027224182903480932,0.027292693826810238,31.23754664706938,-0.03181445315175335,-0.04061528876756337,1.0404769254514585,-0.3310988250062247,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,AVGO,-0.08895121236758852,-0.08923862520219228,-0.0692349750888126,-0.07493896015586743,-0.035841919835859715,0.04259854756230823,0.033703796185539765,36.70954016613531,0.1010931601757663,0.09229232455995628,1.3165080861201308,-0.11816082688900642,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,HPE,-0.020802255855663643,0.011512166833542503,0.028883970364206313,-0.03301529603738129,-0.14303106671557841,0.018383990210903808,0.03284178691040471,33.54923842132,-0.006095986703952394,-0.014896822319762415,0.838191620403962,-0.3032808277428829,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,MRVL,-0.04424206387590912,0.007667885985964684,0.019392571409871495,0.025505436662126124,-0.033345086121867595,0.03023557411849481,0.031490803575888474,55.691757471831075,0.10358999388975842,0.0947891582739484,1.0388980433278407,-0.3445724204998749,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,ANET,-0.05200663400394456,-0.029937736040888452,-0.004588061786071185,-0.0588900488002112,-0.18159823443753975,0.030670780959689056,0.033862704611288104,31.4154124377783,-0.04466315442591373,-0.05346399004172375,0.9448168429003021,-0.3531660678299635,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,DELL,-0.0422326057206418,-0.006603563597256112,0.004619424285816409,-0.23007001898095114,-0.227662415251074,0.04906770719049867,0.05377424872225824,26.438316865924406,-0.09072733523944798,-0.099528170855258,0.9488077615575575,-0.2354147589908424,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
