Date,AMD,AMZN,ANET,ASML,AVGO,DELL,GOOGL,HPE,INTC,META,MRVL,MSFT,NVDA,QQQ,SMCI,SOXX,TSM
2018-01-02,10.979999542236328,59.45050048828125,14.439374923706055,163.68585205078125,21.086660385131836,21.049421310424805,53.18886184692383,11.300008773803711,39.330379486083984,179.84071350097656,21.10407257080078,78.69990539550781,4.922529220581055,150.22218322753906,2.1449999809265137,53.6249885559082,33.67437744140625
2018-01-03,11.550000190734863,60.209999084472656,14.725000381469727,164.9292449951172,21.317264556884766,21.271583557128906,54.09632110595703,11.36961841583252,37.995582580566406,183.0624237060547,21.760009765625,79.06617736816406,5.246499538421631,151.6818389892578,2.1500000953674316,54.56269836425781,34.240814208984375
2018-01-04,12.119999885559082,60.47949981689453,14.54312515258789,166.46722412109375,21.324373245239258,21.649518966674805,54.30644989013672,11.64805793762207,37.29880142211914,182.7253875732422,22.254335403442383,79.76205444335938,5.2741546630859375,151.9471893310547,2.1649999618530273,54.870147705078125,34.06019973754883
2018-01-05,11.880000114440918,61.457000732421875,14.798125267028809,168.41969299316406,21.450729370117188,21.807844161987305,55.02656936645508,11.640324592590332,37.55904769897461,185.22348022460938,21.864582061767578,80.7509536743164,5.318848609924316,153.47320556640625,2.1700000762939453,55.18373489379883,34.85650634765625
2018-01-08,12.279999732971191,62.34349822998047,15.69124984741211,169.30386352539062,21.502063751220703,21.802734375,55.22084426879883,11.462430953979492,37.55904769897461,186.64102172851562,22.02618408203125,80.8333511352539,5.4818220138549805,154.0703887939453,2.180000066757202,55.617244720458984,34.840087890625
2018-01-09,11.819999694824219,62.6349983215332,15.623749732971191,168.39210510253906,21.204336166381836,21.52183723449707,55.150474548339844,11.48563289642334,36.618804931640625,186.2345733642578,22.007179260253906,80.77845001220703,5.480340957641602,154.07986450195312,2.125,55.069984436035156,34.626651763916016
2018-01-10,11.960000038146973,62.71649932861328,15.767499923706055,166.43038940429688,20.756547927856445,21.606103897094727,55.019126892089844,11.748607635498047,35.67857360839844,186.20480346679688,21.99766731262207,80.41216278076172,5.523308277130127,153.71963500976562,2.130000114440918,54.40898132324219,33.90422821044922
2018-01-11,12.140000343322754,63.83399963378906,16.299375534057617,164.44110107421875,20.80946922302246,22.173011779785156,55.113792419433594,11.949701309204102,36.44251251220703,186.1354522705078,22.007179260253906,80.65023040771484,5.53318452835083,154.77171325683594,2.1700000762939453,54.734867095947266,33.68258285522461
2018-01-12,12.020000457763672,65.26000213623047,16.189374923706055,166.57772827148438,20.87185287475586,22.1525821685791,56.035621643066406,12.228140830993652,36.2998046875,177.80856323242188,22.66311264038086,82.04204559326172,5.506023406982422,155.90914916992188,2.1500000953674316,55.03001403808594,33.81393814086914
2018-01-16,11.90999984741211,65.24299621582031,15.798125267028809,171.65235900878906,20.78972625732422,21.984045028686523,56.0380973815918,12.228140830993652,36.215850830078125,176.8370819091797,22.415945053100586,80.8974609375,5.435153961181641,155.46365356445312,2.1500000953674316,55.21141052246094,34.66769790649414
2018-01-17,12.180000305175781,64.75,16.42562484741211,183.44091796875,20.991891860961914,22.4998722076416,56.45440673828125,12.429237365722656,37.265228271484375,176.05397033691406,22.425457000732422,82.53648376464844,5.548987865447998,157.141357421875,2.1649999618530273,56.81321716308594,35.406532287597656
2018-01-18,12.470000267028809,64.66600036621094,16.57437515258789,187.29058837890625,21.30699920654297,22.571369171142578,56.299285888671875,12.351889610290527,37.34077453613281,178.23484802246094,22.520519256591797,82.49986267089844,5.542074680328369,157.16976928710938,2.1500000953674316,57.06838607788086,36.58866882324219
2018-01-19,12.59000015258789,64.72899627685547,16.927499771118164,189.27996826171875,21.037696838378906,22.59691047668457,56.67247009277344,12.436970710754395,37.62621307373047,179.71182250976562,22.511011123657227,82.40829467773438,5.682082176208496,157.66262817382812,2.2799999713897705,57.12681579589844,36.67074966430664
2018-01-22,12.649999618530273,66.3655014038086,17.229999542236328,189.29833984375,20.699691772460938,22.709266662597656,57.69639205932617,12.413764953613281,38.40694046020508,183.75634765625,22.45397186279297,83.8824691772461,5.77048397064209,159.3497772216797,2.3350000381469727,57.551090240478516,38.074546813964844
2018-01-23,12.9399995803833,68.12699890136719,17.071250915527344,189.19705200195312,20.762081146240234,22.755231857299805,58.2916145324707,12.893301010131836,38.667179107666016,187.7017059326172,22.368419647216797,84.14804077148438,5.899379730224609,160.66726684570312,2.2899999618530273,58.012264251708984,37.9924430847168
2018-01-24,12.710000038146973,67.87550354003906,17.071250915527344,186.26832580566406,20.285085678100586,22.566267013549805,58.04975891113281,12.901034355163574,38.20546340942383,184.9260711669922,22.1402645111084,84.07478332519531,5.8225860595703125,159.62466430664062,2.2799999713897705,56.68408203125,37.212554931640625
2018-01-25,12.40999984741211,68.89749908447266,17.297500610351562,184.96047973632812,19.52930450439453,22.584144592285156,58.58749008178711,12.74635124206543,38.029178619384766,185.8479461669922,21.874086380004883,84.54174041748047,5.836167812347412,159.5677947998047,2.265000104904175,55.70025634765625,37.02375030517578
2018-01-26,12.949999809265137,70.10250091552734,17.71875,190.19171142578125,19.805715560913086,21.128583908081055,58.856109619140625,12.924237251281738,42.04195022583008,188.34600830078125,22.23531723022461,86.12581634521484,6.008523941040039,162.01319885253906,2.384999990463257,57.48038101196289,37.53272247314453
2018-01-29,13.319999694824219,70.88400268554688,17.374374389648438,187.8984832763672,19.385578155517578,19.101011276245117,58.80258560180664,13.125335693359375,41.958003997802734,184.36102294921875,22.292367935180664,85.99761962890625,6.095443248748779,161.22647094726562,2.450000047683716,57.39735794067383,37.27003860473633
2018-01-30,12.869999885559082,71.89099884033203,17.201875686645508,184.40792846679688,19.030986785888672,17.895708084106445,58.35108947753906,12.792755126953125,40.959014892578125,185.49107360839844,21.978660583496094,84.91716766357422,5.993459701538086,159.89950561523438,2.4649999141693115,56.25672149658203,36.843143463134766
2018-01-31,13.739999771118164,72.54450225830078,17.238750457763672,186.9221649169922,19.58774757385254,18.30939483642578,58.59145736694336,12.68447208404541,40.41333770751953,185.2631072998047,22.178287506103516,86.99568176269531,6.069515228271484,160.56301879882812,2.2829999923706055,56.7148323059082,37.196144104003906
2018-02-01,13.25,69.5,17.1875,185.50392150878906,18.85803985595703,17.939125061035156,58.56023406982422,12.986114501953125,40.001991271972656,191.4091033935547,21.484329223632812,86.30892944335938,5.938642501831055,159.1981201171875,2.257999897003174,56.43505096435547,37.311073303222656
