,0
vol_20d,379
rsi_14,337
vol_5d,295
ai_sentence_ratio,203
gpu_mentions,109
capex_up_score,56
competitor_mentions,55
capex_net,6
news_sentiment,0
pct_positive,0
news_count,0
capex_down_score,0
